	4	1	2
	8	3	4
	16	10	6
	32	25	11	
	64	61	18
	128	137	31
	256	307	54
	512	673	97
	1024	1450	172
	2048	3086	309
	4096	6531	564
	8192	13735	1028
	16384	28733	1900
	32768	59771	3512
	65536	123951	6542
	131072	256223	12251
	262144	528178	23000
	524288	1086134	43390
	1048576	2228882	82025
